team,rating,games,params_source,tuned_metric_used
Oklahoma City Thunder,5.729914201558869,43,tuned_active,log_loss
Detroit Pistons,3.7932517984371787,40,tuned_active,log_loss
San Antonio Spurs,3.34319952897421,43,tuned_active,log_loss
Denver Nuggets,2.683210842963318,42,tuned_active,log_loss
Boston Celtics,2.0962033383666157,41,tuned_active,log_loss
Minnesota Timberwolves,2.0500624330523496,43,tuned_active,log_loss
Houston Rockets,1.961727307549775,39,tuned_active,log_loss
Phoenix Suns,1.8875382870222468,42,tuned_active,log_loss
New York Knicks,1.6520829560921257,43,tuned_active,log_loss
Los Angeles Lakers,1.5261271354346506,40,tuned_active,log_loss
Golden State Warriors,1.040514832312872,43,tuned_active,log_loss
Orlando Magic,0.9658609520322008,41,tuned_active,log_loss
Cleveland Cavaliers,0.8733071413138829,43,tuned_active,log_loss
Miami Heat,0.8636570429786548,42,tuned_active,log_loss
Toronto Raptors,0.7925096650702569,43,tuned_active,log_loss
Philadelphia 76ers,0.698917152904741,40,tuned_active,log_loss
Portland Trail Blazers,0.5499481623175445,43,tuned_active,log_loss
Atlanta Hawks,-0.4050845703459593,44,tuned_active,log_loss
Los Angeles Clippers,-0.6266081679357232,41,tuned_active,log_loss
Memphis Grizzlies,-1.044226699907711,40,tuned_active,log_loss
Chicago Bulls,-1.1176938764068955,41,tuned_active,log_loss
Milwaukee Bucks,-1.7193170370253241,41,tuned_active,log_loss
Dallas Mavericks,-1.9983556323377332,43,tuned_active,log_loss
Utah Jazz,-2.351421713321941,42,tuned_active,log_loss
Charlotte Hornets,-2.706101675813247,42,tuned_active,log_loss
Sacramento Kings,-2.8461046033322783,42,tuned_active,log_loss
Brooklyn Nets,-3.5529237831632345,39,tuned_active,log_loss
New Orleans Pelicans,-4.655692348363932,44,tuned_active,log_loss
Washington Wizards,-4.719847593307724,41,tuned_active,log_loss
Indiana Pacers,-4.764655077119791,43,tuned_active,log_loss
