team,rating,games,params_source,tuned_metric_used
Oklahoma City Thunder,1599.2187185516532,42,db_active,mae_margin
Detroit Pistons,1568.5562308716555,39,db_active,mae_margin
Denver Nuggets,1561.2315016729297,41,db_active,mae_margin
San Antonio Spurs,1559.16616635472,42,db_active,mae_margin
Minnesota Timberwolves,1546.5819038950247,42,db_active,mae_margin
Boston Celtics,1542.1699277769608,40,db_active,mae_margin
Houston Rockets,1535.7130932678474,39,db_active,mae_margin
Phoenix Suns,1535.4142766473642,41,db_active,mae_margin
New York Knicks,1533.8639453857334,42,db_active,mae_margin
Los Angeles Lakers,1527.094478751169,39,db_active,mae_margin
Toronto Raptors,1517.963363662195,43,db_active,mae_margin
Orlando Magic,1517.192866979486,41,db_active,mae_margin
Golden State Warriors,1515.1963980439598,42,db_active,mae_margin
Cleveland Cavaliers,1513.922369474574,43,db_active,mae_margin
Philadelphia 76ers,1512.9979618673497,40,db_active,mae_margin
Miami Heat,1499.96603068168,41,db_active,mae_margin
Portland Trail Blazers,1497.985792460223,42,db_active,mae_margin
Atlanta Hawks,1494.484202236341,43,db_active,mae_margin
Los Angeles Clippers,1494.1462527222238,41,db_active,mae_margin
Chicago Bulls,1480.094853889897,41,db_active,mae_margin
Memphis Grizzlies,1475.838266379231,40,db_active,mae_margin
Milwaukee Bucks,1475.2311755652454,41,db_active,mae_margin
Charlotte Hornets,1465.1582076368936,41,db_active,mae_margin
Dallas Mavericks,1460.369556690389,42,db_active,mae_margin
Utah Jazz,1452.00746179337,41,db_active,mae_margin
Brooklyn Nets,1437.820827626106,39,db_active,mae_margin
Sacramento Kings,1435.3119194646845,42,db_active,mae_margin
Washington Wizards,1426.8438548094011,40,db_active,mae_margin
Indiana Pacers,1413.4241670975046,42,db_active,mae_margin
New Orleans Pelicans,1405.0342277441885,44,db_active,mae_margin
