team,rating,points,games
Boston Celtics,5.052298703198094,9.836342520581855,14
Cleveland Cavaliers,3.2259851599142135,7.112232196733247,15
Oklahoma City Thunder,3.130559403459952,6.929898149898679,15
Houston Rockets,2.3910301683310897,5.293461846056008,15
Golden State Warriors,1.7619908964807702,3.4396787978826158,14
Los Angeles Clippers,1.6868579819502068,3.175063214930403,16
Memphis Grizzlies,1.5330043314093966,2.5943095165884023,14
Orlando Magic,1.4570477933843982,2.285727597610133,16
Milwaukee Bucks,1.376873976063157,1.94204998919822,14
Denver Nuggets,1.3049983866528185,1.6164848060057873,13
Dallas Mavericks,1.2324340953824349,1.2690786389645423,15
San Antonio Spurs,1.1101743768857233,0.6346700138827235,14
Los Angeles Lakers,0.9999070563184779,-0.0005644177797307503,14
New York Knicks,0.9426136569558421,-0.35887162235063763,15
Phoenix Suns,0.820186188110568,-1.2036955668509883,14
Atlanta Hawks,0.7786303849603384,-1.5194296694580374,16
Brooklyn Nets,0.7764815911326444,-1.5362109070295513,15
Minnesota Timberwolves,0.6795452349810782,-2.3459606640869004,15
Portland Trail Blazers,0.6420320488068069,-2.690785624543104,15
Sacramento Kings,0.5841727308520599,-3.2642726031514373,16
Miami Heat,0.5803950192629017,-3.3036689715603105,13
Detroit Pistons,0.4788710915853389,-4.471255550414865,17
Indiana Pacers,0.4514479915261405,-4.829352877713647,15
Chicago Bulls,0.4043453159004474,-5.498476624818555,16
Utah Jazz,0.40204322211532534,-5.533147952580669,14
Charlotte Hornets,0.2958232981339916,-7.396144933881976,16
Philadelphia 76ers,0.2691848179590331,-7.9691619048538165,14
Toronto Raptors,0.2686178082330238,-7.981966279659683,15
New Orleans Pelicans,0.1406152714799132,-11.912402355200951,15
Washington Wizards,0.0,0.0,14
