date,home_team,away_team,home_score,away_score,neutral,overtime,game_id,notes,status,model,home_rating,away_rating,projected_winner,projected_spread,projected_total,result_margin,result_total
10/21/2025,Los Angeles Lakers,Golden State Warriors,109,119,FALSE,FALSE,2025-10-21|Golden State Warriors|Los Angeles Lakers,,final,bradley-terry,3.460211333,-0.196594319,Los Angeles Lakers,3.656805652,233.2969432,-10,228
10/21/2025,Oklahoma City Thunder,Houston Rockets,125,124,FALSE,FALSE,2025-10-21|Houston Rockets|Oklahoma City Thunder,,final,bradley-terry,9.811197825,3.17744288,Oklahoma City Thunder,6.633754946,233.2969432,1,249
10/22/2025,Charlotte Hornets,Brooklyn Nets,136,117,FALSE,FALSE,2025-10-22|Brooklyn Nets|Charlotte Hornets,,final,bradley-terry,-6.230312921,-6.90391712,Charlotte Hornets,0.673604199,233.2969432,19,253
10/22/2025,New York Knicks,Cleveland Cavaliers,119,111,FALSE,FALSE,2025-10-22|Cleveland Cavaliers|New York Knicks,,final,bradley-terry,4.556312374,-1.573435105,New York Knicks,6.129747479,233.2969432,8,230
10/22/2025,Chicago Bulls,Detroit Pistons,115,111,FALSE,FALSE,2025-10-22|Detroit Pistons|Chicago Bulls,,final,bradley-terry,-2.267206274,5.586114982,Detroit Pistons,-7.853321256,233.2969432,4,226
10/22/2025,Utah Jazz,Los Angeles Clippers,129,108,FALSE,FALSE,2025-10-22|Los Angeles Clippers|Utah Jazz,,final,bradley-terry,-3.765361242,-6.022625691,Utah Jazz,2.257264449,233.2969432,21,237
10/22/2025,Orlando Magic,Miami Heat,125,121,FALSE,FALSE,2025-10-22|Miami Heat|Orlando Magic,,final,bradley-terry,1.245174867,-0.318817789,Orlando Magic,1.563992657,233.2969432,4,246
10/22/2025,Portland Trail Blazers,Minnesota Timberwolves,114,118,FALSE,FALSE,2025-10-22|Minnesota Timberwolves|Portland Trail Blazers,,final,bradley-terry,-3.310042335,3.203037321,Minnesota Timberwolves,-6.513079657,233.2969432,-4,232
10/22/2025,Memphis Grizzlies,New Orleans Pelicans,128,122,FALSE,FALSE,2025-10-22|New Orleans Pelicans|Memphis Grizzlies,,final,bradley-terry,-1.768083656,-7.916221568,Memphis Grizzlies,6.148137913,233.2969432,6,250
10/22/2025,Boston Celtics,Philadelphia 76ers,116,117,FALSE,FALSE,2025-10-22|Philadelphia 76ers|Boston Celtics,,final,bradley-terry,2.484741787,-0.7259986,Boston Celtics,3.210740387,233.2969432,-1,233
10/22/2025,Phoenix Suns,Sacramento Kings,120,116,FALSE,FALSE,2025-10-22|Sacramento Kings|Phoenix Suns,,final,bradley-terry,1.641240049,-7.119348383,Phoenix Suns,8.760588432,233.2969432,4,236
10/22/2025,Dallas Mavericks,San Antonio Spurs,92,125,FALSE,FALSE,2025-10-22|San Antonio Spurs|Dallas Mavericks,,final,bradley-terry,-4.867254585,7.208024728,San Antonio Spurs,-12.07527931,233.2969432,-33,217
10/22/2025,Atlanta Hawks,Toronto Raptors,118,138,FALSE,FALSE,2025-10-22|Toronto Raptors|Atlanta Hawks,,final,bradley-terry,-2.363932593,-1.091654483,Toronto Raptors,-1.27227811,233.2969432,-20,256
10/22/2025,Milwaukee Bucks,Washington Wizards,133,120,FALSE,FALSE,2025-10-22|Washington Wizards|Milwaukee Bucks,,final,bradley-terry,-5.401240434,-11.11742058,Milwaukee Bucks,5.716180149,233.2969432,13,253
10/23/2025,Golden State Warriors,Denver Nuggets,137,131,FALSE,FALSE,2025-10-23|Denver Nuggets|Golden State Warriors,,final,bradley-terry,-0.196594319,5.062279444,Denver Nuggets,-5.258873763,233.2969432,6,268
10/23/2025,Indiana Pacers,Oklahoma City Thunder,135,141,FALSE,FALSE,2025-10-23|Oklahoma City Thunder|Indiana Pacers,,final,bradley-terry,-11.81293649,9.811197825,Oklahoma City Thunder,-21.62413432,233.2969432,-6,276
