date,home_team,away_team,home_score,away_score,neutral,overtime,game_id,notes,status,model,home_rating,away_rating,projected_winner,projected_spread,projected_total,result_margin,result_total
2024-11-01,Charlotte Hornets,Boston Celtics,109,124,False,False,2024-11-01|Boston Celtics|Charlotte Hornets,,final,bradley-terry,-7.396144933881973,9.836342520581848,Boston Celtics,-17.232487454463822,225.5855855855856,-15,233
2024-11-01,Brooklyn Nets,Chicago Bulls,120,112,False,False,2024-11-01|Chicago Bulls|Brooklyn Nets,,final,bradley-terry,-1.536210907029554,-5.4984766248185535,Brooklyn Nets,3.9622657177889993,225.5855855855856,8,232
2024-11-01,Minnesota Timberwolves,Denver Nuggets,119,116,False,False,2024-11-01|Denver Nuggets|Minnesota Timberwolves,,final,bradley-terry,-2.3459606640868986,1.6164848060057866,Denver Nuggets,-3.9624454700926854,225.5855855855856,3,235
2024-11-01,New Orleans Pelicans,Indiana Pacers,125,118,False,False,2024-11-01|Indiana Pacers|New Orleans Pelicans,,final,bradley-terry,-11.91240235520095,-4.829352877713647,Indiana Pacers,-7.083049477487303,225.5855855855856,7,243
2024-11-01,Toronto Raptors,Los Angeles Lakers,125,131,False,False,2024-11-01|Los Angeles Lakers|Toronto Raptors,,final,bradley-terry,-7.981966279659679,-0.0005644177797307501,Los Angeles Lakers,-7.981401861879949,225.5855855855856,-6,256
2024-11-01,Detroit Pistons,New York Knicks,98,128,False,False,2024-11-01|New York Knicks|Detroit Pistons,,final,bradley-terry,-4.471255550414863,-0.3588716223506382,New York Knicks,-4.112383928064225,225.5855855855856,-30,226
2024-11-01,Portland Trail Blazers,Oklahoma City Thunder,114,137,False,False,2024-11-01|Oklahoma City Thunder|Portland Trail Blazers,,final,bradley-terry,-2.6907856245431025,6.929898149898675,Oklahoma City Thunder,-9.620683774441778,225.5855855855856,-23,251
2024-11-01,Cleveland Cavaliers,Orlando Magic,120,109,False,False,2024-11-01|Orlando Magic|Cleveland Cavaliers,,final,bradley-terry,7.1122321967332445,2.2857275976101312,Cleveland Cavaliers,4.826504599123114,225.5855855855856,11,229
2024-11-01,Atlanta Hawks,Sacramento Kings,115,123,False,False,2024-11-01|Sacramento Kings|Atlanta Hawks,,final,bradley-terry,-1.5194296694580385,-3.264272603151437,Atlanta Hawks,1.7448429336933984,225.5855855855856,-8,238
2024-11-02,Charlotte Hornets,Boston Celtics,103,113,False,False,2024-11-02|Boston Celtics|Charlotte Hornets,,final,bradley-terry,-7.396144933881973,9.836342520581848,Boston Celtics,-17.232487454463822,225.5855855855856,-10,216
