bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",25,0.03987012995981485,0.32,elo
"(0.1, 0.2]",18,0.1540671638807236,0.4444444444444444,elo
"(0.2, 0.3]",25,0.2513913807343214,0.44,elo
"(0.3, 0.4]",30,0.3465257628868818,0.4666666666666667,elo
"(0.4, 0.5]",18,0.45021131761137106,0.6666666666666666,elo
"(0.5, 0.6]",37,0.5466359106376728,0.6486486486486487,elo
"(0.6, 0.7]",31,0.6480510226363956,0.4838709677419355,elo
"(0.7, 0.8]",33,0.7551948153880373,0.696969696969697,elo
"(0.8, 0.9]",42,0.85261578910397,0.6666666666666666,elo
"(0.9, 1.0]",42,0.9581407558456034,0.6904761904761905,elo
