bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",20,0.03462650112696898,0.4,gssd
"(0.1, 0.2]",24,0.15437695518190378,0.375,gssd
"(0.2, 0.3]",23,0.25708345233571134,0.391304347826087,gssd
"(0.3, 0.4]",25,0.35548140676650036,0.36,gssd
"(0.4, 0.5]",34,0.4545004848507019,0.5588235294117647,gssd
"(0.5, 0.6]",38,0.5380602076123668,0.4473684210526316,gssd
"(0.6, 0.7]",32,0.6442522925599061,0.71875,gssd
"(0.7, 0.8]",39,0.7572144423797186,0.6923076923076923,gssd
"(0.8, 0.9]",43,0.8496429898710797,0.7906976744186046,gssd
"(0.9, 1.0]",23,0.940762354189841,0.7391304347826086,gssd
