bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",228,0.01616569574149652,0.4144736842105263,bradley_terry_hfa
"(0.1, 0.2]",28,0.14535778775615812,0.5,bradley_terry_hfa
"(0.2, 0.3]",18,0.25488451624204367,0.6111111111111112,bradley_terry_hfa
"(0.3, 0.4]",7,0.3666030650340716,0.42857142857142855,bradley_terry_hfa
"(0.4, 0.5]",13,0.4613213431244273,0.7692307692307693,bradley_terry_hfa
"(0.5, 0.6]",24,0.5543744684820214,0.5,bradley_terry_hfa
"(0.6, 0.7]",27,0.6500959953852006,0.5555555555555556,bradley_terry_hfa
"(0.7, 0.8]",15,0.7675228406932859,0.6666666666666666,bradley_terry_hfa
"(0.8, 0.9]",27,0.8540595739312992,0.7407407407407407,bradley_terry_hfa
"(0.9, 1.0]",97,0.9714556902258656,0.7783505154639175,bradley_terry_hfa
