bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",231,0.015032503504191667,0.41774891774891776,bradley_terry_hfa
"(0.1, 0.2]",26,0.1453572409288983,0.5,bradley_terry_hfa
"(0.2, 0.3]",19,0.2545412293446318,0.5789473684210527,bradley_terry_hfa
"(0.3, 0.4]",6,0.3588615004433269,0.16666666666666666,bradley_terry_hfa
"(0.4, 0.5]",12,0.4601747466762894,0.9166666666666666,bradley_terry_hfa
"(0.5, 0.6]",22,0.5562518256050283,0.5,bradley_terry_hfa
"(0.6, 0.7]",26,0.6501071384836727,0.5384615384615384,bradley_terry_hfa
"(0.7, 0.8]",14,0.769427791761119,0.7142857142857143,bradley_terry_hfa
"(0.8, 0.9]",24,0.8485558217204162,0.7083333333333334,bradley_terry_hfa
"(0.9, 1.0]",104,0.9751154321850193,0.7740384615384616,bradley_terry_hfa
