bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",31,0.04793142940499759,0.25806451612903225,elo
"(0.1, 0.2]",55,0.15790486652508393,0.2727272727272727,elo
"(0.2, 0.3]",74,0.2547710837736078,0.3783783783783784,elo
"(0.3, 0.4]",88,0.34935737176697046,0.42045454545454547,elo
"(0.4, 0.5]",85,0.448038886455036,0.5058823529411764,elo
"(0.5, 0.6]",133,0.5457119469831259,0.5939849624060151,elo
"(0.6, 0.7]",121,0.6485222867909906,0.5371900826446281,elo
"(0.7, 0.8]",115,0.7516442358818269,0.6434782608695652,elo
"(0.8, 0.9]",103,0.8510286150643683,0.7572815533980582,elo
"(0.9, 1.0]",57,0.9526918935000351,0.7543859649122807,elo
