bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",21,0.08109284764365564,0.3333333333333333,gssd
"(0.1, 0.2]",41,0.151769747390839,0.2073170731707317,gssd
"(0.2, 0.3]",38,0.25152712540474376,0.4868421052631579,gssd
"(0.3, 0.4]",53,0.35094066654778383,0.3113207547169811,gssd
"(0.4, 0.5]",50,0.45788879879867844,0.51,gssd
"(0.5, 0.6]",56,0.5518673596199283,0.48214285714285715,gssd
"(0.6, 0.7]",55,0.6469247508972148,0.6,gssd
"(0.7, 0.8]",60,0.7523079170620878,0.5916666666666667,gssd
"(0.8, 0.9]",58,0.8506294801389626,0.8189655172413793,gssd
"(0.9, 1.0]",52,0.9416062837485186,0.8846153846153846,gssd
