bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",53,0.027592785463374098,0.3584905660377358,toor
"(0.1, 0.2]",54,0.15398777605956515,0.2777777777777778,toor
"(0.2, 0.3]",75,0.2503205442469137,0.37333333333333335,toor
"(0.3, 0.4]",75,0.35438077119141875,0.41333333333333333,toor
"(0.4, 0.5]",90,0.44770321345279923,0.5222222222222223,toor
"(0.5, 0.6]",118,0.5495062266007964,0.5508474576271186,toor
"(0.6, 0.7]",106,0.647885130472818,0.6037735849056604,toor
"(0.7, 0.8]",114,0.7517736856139563,0.6491228070175439,toor
"(0.8, 0.9]",89,0.8479938103617015,0.7752808988764045,toor
"(0.9, 1.0]",88,0.9661948767459073,0.6590909090909091,toor
