bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",47,0.04420431072594999,0.3723404255319149,toor
"(0.1, 0.2]",43,0.15238714192510344,0.3953488372093023,toor
"(0.2, 0.3]",25,0.25038029368337983,0.46,toor
"(0.3, 0.4]",34,0.3575707728470675,0.2647058823529412,toor
"(0.4, 0.5]",44,0.44380253483096,0.45454545454545453,toor
"(0.5, 0.6]",50,0.5450255307794503,0.58,toor
"(0.6, 0.7]",45,0.6436506439520044,0.45555555555555555,toor
"(0.7, 0.8]",42,0.7564088001001864,0.6428571428571429,toor
"(0.8, 0.9]",56,0.8513190052484891,0.6160714285714286,toor
"(0.9, 1.0]",98,0.9608890176237138,0.8061224489795918,toor
