team,rating,points,games
Oklahoma City Thunder,4.398642315825831,9.811197825477386,31
San Antonio Spurs,2.9691286162314596,7.208024727891351,31
Detroit Pistons,2.3242382927505183,5.586114981917395,31
Denver Nuggets,2.1474983604532336,5.062279443862951,30
New York Knicks,1.9895582658038629,4.556312373839583,31
Los Angeles Lakers,1.6861084121309446,3.4602113332929267,29
Minnesota Timberwolves,1.6218946339434988,3.2030373214349175,31
Houston Rockets,1.6156393180076323,3.177442879927101,28
Boston Celtics,1.4552047893423077,2.484741786854623,30
Phoenix Suns,1.2811967946080063,1.6412400489375771,30
Orlando Magic,1.2068294894243081,1.2451748673532215,31
Golden State Warriors,0.9707543435401075,-0.19659431907907626,31
Miami Heat,0.9530049783502417,-0.31881778938801436,31
Philadelphia 76ers,0.8961823568681093,-0.725998600029537,29
Toronto Raptors,0.8480479191435406,-1.0916544828928987,32
Cleveland Cavaliers,0.7885515971481497,-1.5734351052165296,32
Memphis Grizzlies,0.7657148008854416,-1.768083655575309,31
Chicago Bulls,0.7101329312629906,-2.267206274440575,30
Atlanta Hawks,0.6998376834979992,-2.363932592988377,32
Portland Trail Blazers,0.60668193277722,-3.3100423353455204,31
Utah Jazz,0.5663773470493484,-3.765361242425277,30
Dallas Mavericks,0.47957320216522886,-4.8672545851457665,32
Milwaukee Bucks,0.44242691766006165,-5.401240434316219,31
Los Angeles Clippers,0.40280737329578226,-6.022625691063187,30
Charlotte Hornets,0.39037265973536395,-6.230312921107855,31
Brooklyn Nets,0.3526235194780889,-6.903917120204225,28
Sacramento Kings,0.34133866280072245,-7.119348383471394,30
New Orleans Pelicans,0.3026457903716627,-7.916221568168648,32
Washington Wizards,0.18665195281594693,-11.117420583149487,29
Indiana Pacers,0.16804580401941452,-11.812936490726404,31
