team,rating,points,games
Oklahoma City Thunder,4.602115813901234,11.427846652099365,33
San Antonio Spurs,2.287782941829834,6.732817343411235,33
New York Knicks,2.1652799252863435,6.363133616668735,33
Detroit Pistons,2.0433410081059176,5.973768646051714,32
Los Angeles Lakers,1.7636121516856464,4.984814963550581,30
Houston Rockets,1.729645660523981,4.854177867423598,30
Denver Nuggets,1.7216534984916263,4.823066776850103,32
Minnesota Timberwolves,1.4954696771714562,3.876952192229939,33
Boston Celtics,1.3655412423831539,3.2664091260773462,31
Phoenix Suns,1.3277470673735101,3.077869206598179,32
Orlando Magic,1.2246169861847185,2.5347288939006027,33
Miami Heat,1.0817869491410892,1.7016750655841242,33
Toronto Raptors,1.028098463553326,1.3597359128523512,34
Golden State Warriors,0.9485999532645912,0.8191239171999608,33
Philadelphia 76ers,0.9023791014247973,0.4835721595788183,30
Cleveland Cavaliers,0.8610281213308574,0.16847419438048017,34
Portland Trail Blazers,0.7154139221216601,-1.076035337885096,33
Memphis Grizzlies,0.6991026726032845,-1.2309638034360861,32
Atlanta Hawks,0.6718218484030241,-1.4983469702137553,34
Utah Jazz,0.6398713120254466,-1.8256609828420292,31
Chicago Bulls,0.6352239353275608,-1.8746275836023352,32
Milwaukee Bucks,0.5326120063966777,-3.0581328043516995,33
Los Angeles Clippers,0.462932896141249,-3.999990306820602,31
Dallas Mavericks,0.42592713015762207,-4.5596446977009935,34
Brooklyn Nets,0.39804746708371147,-5.014394269100372,30
Charlotte Hornets,0.3873822349240886,-5.196835280815432,32
Sacramento Kings,0.36434148737332117,-5.608749847158278,32
New Orleans Pelicans,0.2785493546084117,-7.412353586901491,34
Washington Wizards,0.21577617118989195,-9.127672320717874,31
Indiana Pacers,0.16414675135099532,-10.964758742911087,33
